PCM_LOCATION,PCM_NUMBER,PCM_SHEET,PCM_REV,PCM_COMMENTS
A1,232W1451,1,A,
A2,272T4552,1,C,ADCN 2
A3,255T4849,2,REV -,
A4,142U1007 ,31,REV -,
A5,251U1004,12,REV -,
A6,287U0001,15,REV -,
A7,217W1600,2,REV -,
A8,146U8533,74,REV -,
A9,142U1007 ,155,REV -,2 COPIES
A10,140T0746,5,A,
A11,657T6223,1,REV -,
A12,65B47963,4,REV A,ADCN'S 1-3
A13,140T2102,15,REV D,
A14,272U9401,12,REV -,
A15,174A1004,2,REV B,
A16,65B16887,6,REV -,
A17,273A4614,1,REV -,
A18,272U9504,50,REV -,
A19,232A1404,28,REV -,
A20,411U7110,33,A,
A21,284T0535,3,REV -,
A22,115A4971,8,REV -,
A23,115A4971,9,REV -,
A24,284T0418,14,A,
A25,284T0418,15,REV -,
A26,284U8001,1,REV -,
A27,232A1522,2,REV -,"ADCN 5,6"
A28,65B13519,1,B,2 COPIES
B1,417U2950,212,A,
B2,216T1408,5,REV -,
B3,65B22649,4,D,ADCN 11
B4,114N2208,1,A,
B5,411U7116,13,REV -,
B6,256T2427,1,REV-,
B7,258T4218,1,A,
B8,OPEN,,,
B9,287W4507,7,C,
B10,146N6603 ,7,REV K,"ADCN'S 12-17,W17,W18  "
B11,439W3278 ,636,REV -,
B12,148A7408,6,A,
B13,146N6603 ,12,REV E,"ADCN'S 6-8,W02  "
B14,65B56107,4,REV NEW,ADCN'S 1-3
B15,OPEN,,,
B16,255U0176,1,REV -,
B17,284T0201,40,REV -,
B18,149T7417,1,C,
B19,146N6603 ,10,REV J,
B20,65C18534,6,REV F,
B21,113T1688,3,A,
B22,115A4972,1,A,
B23,232A1651,5,A,
B24,214U6121,17,REV A,
B25,113t1688,1,REV C,
B26,284T0742 ,1,F,
B27,232A1651,7,REV -,
B28,212W1962,12,A,
C1,65B50744,1,REV B,"ADCN'S 1,2"
C2,9-64040,1,C,
C3,412W2101 ,4,REV -,
C4,216T1112,25,REV -,3 COPIES
